GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Quickbucks Maven Webapp,quickbucks,MvcConfig,36,0,0,0,10,0,3,0,3,0
Quickbucks Maven Webapp,quickbucks,User,61,39,0,0,18,18,9,9,9,9
Quickbucks Maven Webapp,quickbucks,CleanStringAdvice,12,0,0,0,4,0,2,0,2,0
Quickbucks Maven Webapp,quickbucks,MainController,821,859,43,83,229,208,40,51,14,12
Quickbucks Maven Webapp,quickbucks,Review,49,3,0,0,21,1,14,1,14,1
Quickbucks Maven Webapp,quickbucks,Request,44,76,1,3,17,26,10,13,9,12
Quickbucks Maven Webapp,quickbucks,AuthenticationProviderConfig,37,0,0,0,12,0,3,0,3,0
Quickbucks Maven Webapp,quickbucks,WebSecurityConfig,212,0,0,0,33,0,4,0,4,0
Quickbucks Maven Webapp,quickbucks,MyErrorController,7,0,0,0,3,0,3,0,3,0
Quickbucks Maven Webapp,quickbucks,ResetToken,22,3,0,0,9,1,6,1,6,1
Quickbucks Maven Webapp,quickbucks,CleanStringAdvice.StringCleaner,17,0,2,0,6,0,3,0,2,0
Quickbucks Maven Webapp,quickbucks,Job,4,34,0,0,2,14,1,10,1,10
Quickbucks Maven Webapp,quickbucks,Application,5,3,0,0,2,1,1,1,1,1
